Mese;Settimana;Data;Sport;Competizione;Mercato;Stake;Quota;Pot_win;Esito;Tipster;Book;Online_fisico;Live_PM;Profit;Cumulativo
M3_A22;W8_A2;2022-04-11;TENTAV;TTSeries;Vincente Incontro;25.00;2.46;61.50;P;snobilikat;Sisal;O;PM;-25.00;2.45
M3_A22;W8_A2;2022-04-13;TENTAV;TTCup;Vincente Incontro;30.00;1.60;48.00;P;Mkt;Sisal;O;L;-30.00;-27.55
M3_A22;W9_A3;2022-04-18;TENTAV;TTSeries;U/O Set;45.00;3.95;177.75;P;Castie92;Sisal;O;L;-45.00;-72.55
M3_A22;W9_A3;2022-04-18;TENTAV;TTSeries;Vincente Set;6.00;1.35;8.10;V;Castie92;Sisal;O;L;2.10;-70.45
M3_A22;W9_A3;2022-04-18;TENTAV;TTSeries;U/O Set;9.00;3.05;27.45;V;Castie92;Sisal;O;L;18.45;-52.00
M3_A22;W910_A4;2022-04-23;TENTAV;WinCup;Vincente Set;12.00;2.50;30.00;V;1504;Sisal;O;L;18.00;-34.00
M3_A22;W910_A4;2022-04-23;TENTAV;WinCup;Vincente Set;15.00;1.70;25.50;V;1504;Sisal;O;L;10.50;-23.50
M3_A22;W910_A4;2022-04-23;PMANO;AUS-2;1X2;15.00;4.00;60.00;V;Graz;Sisal;O;PM;45.00;21.50
M3_A22;W910_A4;2022-04-23;CALCIO;MAL-1;1X2;20.00;2.40;48.00;V;Social;Sisal;O;PM;28.00;49.50
M3_A22;W910_A4;2022-04-23;CALCIO;MNT-2;1X2;10.00;4.05;40.50;V;Ufficio;Sisal;O;PM;30.50;80.00
M3_A22;W910_A4;2022-04-23;CALCIO;ITA-3;1X2;50.00;2.05;102.50;V;Ludo;Sisal;O;PM;52.50;132.50
M3_A22;W910_A4;2022-04-25;TENNIS;CHA;Vincente Incontro;30.00;2.25;67.50;V;Campi Bisenzio;Sisal;O;PM;37.50;170.00
M3_A22;W910_A4;2022-04-26;VOLLEY;KAZ-1;Vincente Incontro;30.00;2.10;63.00;V;GAD_POP;Sisal;O;L;33.00;203.00
M3_A22;W910_A4;2022-04-26;TENNIS;ATP;Vincente Set;30.00;1.70;51.00;V;MTO;Sisal;O;L;21.00;224.00
M3_A22;W910_A4;2022-04-27;TENTAV;TTSeries;Vincente Incontro;25.00;2.40;60.00;P;vasostaso;Sisal;O;L;-25.00;199.00
M3_A22;W910_A4;2022-04-27;TENNIS;CHA;Vincente Incontro;25.00;3.20;80.00;P;Paolo;Sisal;O;PM;-25.00;174.00
